"c";"name";"l";"lat";"lon";"X";"Y";"s"
"455";"BREHAL_NEW_1";"18436";48.90229636896131;-1.5055180800548496;"318276";"2440670";"1336"
"458";"ZBM2_Renauvoid";"5889";48.135276647252404;6.384165428953312;"901181";"2356212";"4880"
"466";"CC_Carre_Senart_Indoor";"26625";48.61970611814566;2.544220498518092;"615320";"2402360";"4204"
"469";"CC_Carre_Senart_Indoor";"26625";48.61970611814566;2.544220498518092;"615320";"2402360";"4204"
"477";"JOUY_1";"777";48.513824457125274;1.540351223470357;"541160";"2390860";"2444"
"478";"JOUY_1";"777";48.513824457125274;1.540351223470357;"541160";"2390860";"2444"
"482";"Roissy_En_Brie_1";"16640";48.790809719789436;2.658513981379252;"623672";"2421424";"4371"
"484";"Bonneuil_Port_Autonome_DCS";"8704";48.77991690825798;2.4775114793953734;"610368";"2420173";"4023"
"485";"Bonneuil_Port_Autonome_DCS";"8704";48.77991690825798;2.4775114793953734;"610368";"2420173";"4023"
"488";"Bonneuil_Port_Autonome";"8704";48.77991690825798;2.4775114793953734;"610368";"2420173";"4023"
"490";"OSM_Bayard_Montrouge";"768";48.817092092158234;2.3276598145874794;"599350";"2424300";"3560"
"491";"Airlinair_1";"25600";48.74460315216035;2.354786745612791;"601345";"2416235";"3637"
"493";"DIGNY_1";"777";48.540225776004;1.1327734327056893;"511085";"2394180";"2361"
"495";"DIGNY_1";"777";48.540225776004;1.1327734327056893;"511085";"2394180";"2361"
"503";"Montflix_TDF_I_1";"16384";48.516642466391104;2.106205376037175;"582980";"2390900";"2906"
"504";"QUESTEMBERT_1";"9732";47.65977830981051;-2.4474011292002227;"240880";"2306520";"582"
"505";"ZBM2_Renauvoid";"5889";48.135276647252404;6.384165428953312;"901181";"2356212";"4880"
"506";"Emance_1";"14336";48.577814767271356;1.7350718365281221;"555605";"2397850";"2516"
"507";"Emance_1";"14336";48.577814767271356;1.7350718365281221;"555605";"2397850";"2516"
"513";"ZBM2_Renauvoid";"5889";48.135276647252404;6.384165428953312;"901181";"2356212";"4880"
"516";"Bonneuil_Port_Autonome";"8704";48.77991690825798;2.4775114793953734;"610368";"2420173";"4023"
"520";"Bonneuil_Port_Autonome";"8704";48.77991690825798;2.4775114793953734;"610368";"2420173";"4023"
"521";"ETABLES_CHAPERON_1";"10241";48.61741047800689;-2.833021943887743;"218973";"2414623";"489"
"526";"Osm_Sg_Tour_Granite_Indoor_I_1";"24832";48.89181035352162;2.2295009766777465;"592149";"2432619";"3203"
"527";"Osm_Sg_Tour_Granite_Indoor_I_1";"24832";48.89181035352162;2.2295009766777465;"592149";"2432619";"3203"
"529";"Osm_Sg_Tour_Granite_Indoor_I_1";"24832";48.89181035352162;2.2295009766777465;"592149";"2432619";"3203"
"530";"Ville_St_Jacques_1";"26624";48.33814045591302;2.8623095438532196;"638990";"2371150";"4564"
"533";"Lardy_2";"16384";48.52225143177727;2.2874536873304763;"596375";"2391500";"3446"
