"506";"Emance_1";"14336";"555605";"2397850";"2516"
"507";"Emance_1";"14336";"555605";"2397850";"2516"
"513";"ZBM2_Renauvoid";"5889";"901181";"2356212";"4880"
"516";"Bonneuil_Port_Autonome";"8704";"610368";"2420173";"4023"
"520";"Bonneuil_Port_Autonome";"8704";"610368";"2420173";"4023"
"521";"ETABLES_CHAPERON_1";"10241";"218973";"2414623";"489"
"526";"Osm_Sg_Tour_Granite_Indoor_I_1";"24832";"592149";"2432619";"3203"
"527";"Osm_Sg_Tour_Granite_Indoor_I_1";"24832";"592149";"2432619";"3203"
"529";"Osm_Sg_Tour_Granite_Indoor_I_1";"24832";"592149";"2432619";"3203"
"530";"Ville_St_Jacques_1";"26624";"638990";"2371150";"4564"
"533";"Lardy_2";"16384";"596375";"2391500";"3446"
"534";"Lardy_2";"16384";"596375";"2391500";"3446"
"535";"IFFENDIC_1";"10302";"274620";"2354680";"780"
"536";"IFFENDIC_1";"10302";"274620";"2354680";"780"
"541";"CAMARET_CHATEAU_EAU_1";"9728";"86742";"2386389";"11"
"542";"Lardy_2";"16384";"596375";"2391500";"3446"
"556";"IFFENDIC_1";"10302";"274620";"2354680";"780"
"558";"ETABLES_CHAPERON_1";"10241";"218973";"2414623";"489"
"559";"Osm_biorad_marnes_la_coquette";"25856";"588480";"2426615";"3044"
"560";"ETABLES_CHAPERON_1";"10241";"218973";"2414623";"489"
"571";"ST_NAZAIRE_TREBALE_1";"28672";"253240";"2261725";"648"
"573";"Varsberg";"6153";"915650";"2471625";"4915"
"574";"ST_NAZAIRE_TREBALE_1";"28672";"253240";"2261725";"648"
"581";"Varsberg";"6153";"915650";"2471625";"4915"
"582";"ST_NAZAIRE_TREBALE_1";"28672";"253240";"2261725";"648"
"589";"PONT_L_EVEQUE_VILLE_NEW_1";"22785";"444605";"2479045";"2215"
"591";"PONT_L_EVEQUE_VILLE_NEW_1";"22785";"444605";"2479045";"2215"
"592";"Bierville_1";"16385";"586100";"2376500";"2979"
"593";"Limars_1";"26625";"670910";"2402300";"4683"
"594";"La_Planchette_1";"16641";"652635";"2420125";"4644"
"595";"Boucardiere_1";"26625";"639920";"2416200";"4574"
"597";"Montevrain_B1";"16640";"630540";"2430870";"4475"
"598";"Pres_Des_Noues_1";"16640";"634890";"2409340";"4531"
"599";"JARGEAU_1";"776";"584839";"2317513";"2949"
"600";"PONT_L_EVEQUE_VILLE_NEW_1";"22785";"444605";"2479045";"2215"
"613";"ST_GEREON_TDF_1";"6404";"331888";"2268911";"1438"
"614";"ST_GEREON_TDF_1";"6404";"331888";"2268911";"1438"
"615";"ST_GEREON_TDF_1";"6404";"331888";"2268911";"1438"
"616";"PRE_EN_PAIL_LE_SOUPRAT_1";"17409";"415581";"2387562";"2017"
"617";"LE_PATIS_A11_1";"6404";"344815";"2274710";"1522"
"618";"Maisons_Laffitte_Mesnil_1";"14337";"584886";"2438636";"2952"
"619";"Maisons_Laffitte_Mesnil_1";"14337";"584886";"2438636";"2952"
"623";"LE_PATIS_A11_1";"6404";"344815";"2274710";"1522"
"625";"INGRE_CMD_1";"776";"563633";"2323106";"2583"
"626";"INGRE_CMD_1";"776";"563633";"2323106";"2583"
"627";"INGRE_CMD_1";"776";"563633";"2323106";"2583"
"655";"NOGENT_SUR_VERNISSON_1";"29697";"630630";"2315990";"4477"
"661";"Charmont_N183";"9217";"559743";"2460353";"2551"
"662";"Charmont_N183";"9217";"559743";"2460353";"2551"
"666";"PAIMPONT_TDF_1";"10301";"260557";"2346093";"700"
"667";"PAIMPONT_TDF_1";"10301";"260557";"2346093";"700"
"669";"NOGENT_SUR_VERNISSON_1";"29697";"630630";"2315990";"4477"
"675";"Charmont_N183";"9217";"559743";"2460353";"2551"
"676";"MONTENEUF_1";"9729";"260185";"2329890";"696"
"677";"ST_SYLVAIN_1";"17664";"388710";"2282980";"1819"
"678";"ST_SYLVAIN_1";"17664";"388710";"2282980";"1819"
"681";"CARO_1";"9729";"253816";"2326728";"652"
"682";"MALESTROIT_TDF_1";"9729";"245700";"2322255";"611"
"684";"NOGENT_VAUBRUN_1";"777";"539785";"2405705";"2441"
"685";"Longjumeau_B1";"14592";"597060";"2410084";"3475"
"686";"Longjumeau_B2";"14592";"597060";"2410084";"3475"
"687";"Longjumeau_B3";"14592";"597060";"2410084";"3475"
"688";"VIERZON_GRELET_2";"29696";"578913";"2247870";"2829"
"689";"Mitry_Mory_1";"16640";"619952";"2439872";"4315"
"690";"Mitry_Mory_1";"16640";"619952";"2439872";"4315"
"692";"Poissy_1";"14337";"579793";"2439197";"2849"
"694";"DOUVILLE_EN_AUGE_1";"22785";"429510";"2475800";"2093"
"695";"ST_ANDRE_D_HEBERTOT_1";"22785";"451910";"2481250";"2251"
"696";"LE_PATIS_A11_1";"6404";"344815";"2274710";"1522"
"698";"La_Couperie_1";"14336";"563710";"2428880";"2588"
"699";"La_Falaise_1";"14336";"563020";"2438570";"2577"
"707";"Mareil_Sur_Mauldre_1";"14336";"565150";"2431640";"2608"
"708";"VIERZON_GRELET_2";"29696";"578913";"2247870";"2829"
"710";"VIERZON_GRELET_2";"29696";"578913";"2247870";"2829"
"713";"Elancourt_1";"14336";"571362";"2420437";"2722"
"714";"La_Clairiere_1";"14336";"563660";"2405050";"2585"
"715";"Rochefort_En_Yvelines_1";"16384";"575525";"2400475";"2770"
"716";"Vieille_Eglise_1";"14336";"566220";"2407820";"2624"
"717";"Vieilles_Bergeries_1";"14336";"561000";"2407440";"2557"
"726";"St_Michel_Sur_Orge_Heronniere_1";"16384";"599070";"2402597";"3550"
"736";"LE_PATIS_A11_1";"6404";"344815";"2274710";"1522"
"737";"St_Michel_Sur_Orge_Heronniere_1";"16384";"599070";"2402597";"3550"
"738";"ST_HILAIRE_GROLLIER_1";"28673";"272240";"2202820";"767"
"740";"BONCHAMP_LES_LAVAL_1";"17409";"374004";"2345319";"1709"
"744";"ST_HILAIRE_GROLLIER_1";"28673";"272240";"2202820";"767"
"748";"Bray_sur_Seine_1";"26625";"666655";"2378090";"4678"
"749";"Portonville_1";"26624";"627040";"2359090";"4427"
"754";"SOLTERRE_N7_1";"29697";"630022";"2322981";"4466"
"756";"SOLTERRE_N7_1";"29697";"630022";"2322981";"4466"
"758";"GENNES_1";"17664";"405450";"2262130";"1955"
"759";"MARTIGNE_SUR_MAYENNE_1";"17409";"376920";"2360405";"1724"
"760";"St_Michel_Sur_Orge_Heronniere_1";"16384";"599070";"2402597";"3550"
"762";"Livry_L_Abbaye_Bis_1";"785";"613305";"2436091";"4130"
"764";"Les_Arcades_Indoor_1";"786";"615395";"2426792";"4207"
"766";"Saacy_Sur_Marne_Bis_1";"16641";"663683";"2442255";"4672"
"770";"LE_MONT_ST_MICHEL_1";"18436";"316459";"2411011";"1315"
"772";"Saacy_Sur_Marne_Bis_1";"16641";"663683";"2442255";"4672"
"776";"Livry_L_Abbaye_Bis_1";"785";"613305";"2436091";"4130"
"777";"SOLTERRE_N7_1";"29697";"630022";"2322981";"4466"
"779";"LA_GRANDE_FORET_TGV_1";"17412";"423680";"2322010";"2066"
"780";"NANTES_PARC_EXPO_IN_1";"6404";"307295";"2258180";"1182"
"781";"Livry_L_Abbaye_Bis_1";"785";"613305";"2436091";"4130"
"782";"Livry_L_Abbaye_Bis_2";"785";"613305";"2436091";"4130"
"783";"Livry_L_Abbaye_Bis_2";"785";"613305";"2436091";"4130"
"784";"Saacy_Sur_Marne_Bis_1";"16641";"663683";"2442255";"4672"
"785";"Livry_L_Abbaye_Bis_2";"785";"613305";"2436091";"4130"
"792";"NOGENT_VAUBRUN_1";"777";"539785";"2405705";"2441"
"796";"ST_JEAN_RUELLE_1";"776";"566245";"2323235";"2625"
"800";"La_Poste_DISF_Indoor_1";"8960";"604032";"2423513";"3766"
"826";"LE_POISLAY_TGV_BIS_1";"777";"506725";"2342513";"2357"
"828";"LE_POISLAY_TGV_BIS_1";"777";"506725";"2342513";"2357"
"835";"RENNES_PRISON_1";"10300";"300859";"2352002";"1023"
"836";"Maisons_Laffitte_Mesnil_1";"14337";"584886";"2438636";"2952"
"838";"LE_POISLAY_TGV_BIS_1";"777";"506725";"2342513";"2357"
"841";"LE_FAOUET_1";"9729";"165290";"2354500";"243"
"843";"LE_FAOUET_1";"9729";"165290";"2354500";"243"
"850";"MONTARGIS_SUD_1";"29697";"632943";"2327336";"4514"
"852";"NOGENT_VAUBRUN_1";"777";"539785";"2405705";"2441"
"853";"Osm_Suez_Energy_Services_Indoor";"24832";"592640";"2432358";"3228"
"856";"MONTARGIS_SUD_1";"29697";"632943";"2327336";"4514"
"858";"MONTARGIS_SUD_1";"29697";"632943";"2327336";"4514"
"860";"SAINT_REVEREND_1";"5121";"282889";"2196584";"845"
"869";"CARQUEFOU_1";"6404";"309715";"2258446";"1224"
"870";"CARQUEFOU_1";"6404";"309715";"2258446";"1224"
"871";"CARQUEFOU_1";"6404";"309715";"2258446";"1224"
"873";"SARGE_LES_LE_MANS_1";"17408";"442000";"2337700";"2198"
"874";"SARGE_LES_LE_MANS_1";"17408";"442000";"2337700";"2198"
"875";"SARGE_LES_LE_MANS_1";"17408";"442000";"2337700";"2198"
"879";"SARZEAU_1";"9732";"214620";"2292625";"452"
"880";"SARZEAU_1";"9732";"214620";"2292625";"452"
"881";"SARZEAU_1";"9732";"214620";"2292625";"452"
